costat,curcd,datafmt,indfmt,consol,tic,datadate,gvkey,conm,fyear,at,ceq,ni,oiadp,sale
A,USD,STD,INDL,C,KO,2015-12-31,003144,COCA-COLA CO,2015,90093.0000,25554.0000,7351.0000,10240.0000,44294.0000
A,USD,STD,INDL,C,KO,2016-12-31,003144,COCA-COLA CO,2016,87270.0000,23062.0000,6527.0000,9974.0000,41863.0000
A,USD,STD,INDL,C,KO,2017-12-31,003144,COCA-COLA CO,2017,87896.0000,17072.0000,1248.0000,9430.0000,35410.0000
A,USD,STD,INDL,C,KO,2018-12-31,003144,COCA-COLA CO,2018,83216.0000,16981.0000,6434.0000,9748.0000,31856.0000
A,USD,STD,INDL,C,KO,2019-12-31,003144,COCA-COLA CO,2019,86381.0000,18981.0000,8920.0000,10541.0000,37266.0000
A,USD,STD,INDL,C,KO,2020-12-31,003144,COCA-COLA CO,2020,87296.0000,19299.0000,7747.0000,9837.0000,33014.0000
A,USD,STD,INDL,C,KO,2021-12-31,003144,COCA-COLA CO,2021,94354.0000,22999.0000,9771.0000,11334.0000,38655.0000
A,USD,STD,INDL,C,KO,2022-12-31,003144,COCA-COLA CO,2022,92763.0000,24105.0000,9542.0000,12124.0000,43004.0000
A,USD,STD,INDL,C,KO,2023-12-31,003144,COCA-COLA CO,2023,97703.0000,25941.0000,10714.0000,13289.0000,45754.0000
A,USD,STD,INDL,C,KO,2024-12-31,003144,COCA-COLA CO,2024,100549.0000,24856.0000,10631.0000,14120.0000,47061.0000
A,USD,STD,INDL,C,KO,2025-12-31,003144,COCA-COLA CO,2025,104816.0000,32169.0000,13107.0000,14951.0000,47941.0000
A,USD,STD,INDL,C,PEP,2015-12-31,008479,PEPSICO INC,2015,69667.0000,11882.0000,5452.0000,10142.0000,63056.0000
A,USD,STD,INDL,C,PEP,2016-12-31,008479,PEPSICO INC,2016,74129.0000,11054.0000,6329.0000,10330.0000,62799.0000
A,USD,STD,INDL,C,PEP,2017-12-31,008479,PEPSICO INC,2017,79804.0000,10848.0000,4857.0000,10820.0000,63525.0000
A,USD,STD,INDL,C,PEP,2018-12-31,008479,PEPSICO INC,2018,77648.0000,14518.0000,12515.0000,10457.0000,64661.0000
A,USD,STD,INDL,C,PEP,2019-12-31,008479,PEPSICO INC,2019,78547.0000,14786.0000,7314.0000,10714.0000,67161.0000
A,USD,STD,INDL,C,PEP,2020-12-31,008479,PEPSICO INC,2020,92918.0000,13454.0000,7120.0000,10660.0000,70372.0000
A,USD,STD,INDL,C,PEP,2021-12-31,008479,PEPSICO INC,2021,92377.0000,16043.0000,7618.0000,11363.0000,79474.0000
A,USD,STD,INDL,C,PEP,2022-12-31,008479,PEPSICO INC,2022,92187.0000,17149.0000,8910.0000,12263.0000,86392.0000
A,USD,STD,INDL,C,PEP,2023-12-31,008479,PEPSICO INC,2023,100495.0000,18503.0000,9074.0000,13839.0000,91471.0000
A,USD,STD,INDL,C,PEP,2024-12-31,008479,PEPSICO INC,2024,99467.0000,18041.0000,9578.0000,14505.0000,91854.0000
A,USD,STD,INDL,C,PEP,2025-12-31,008479,PEPSICO INC,2025,107399.0000,20406.0000,8240.0000,14943.0000,93925.0000
